FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
170101;0;18,5658;;
170102;0;19,0216;;
170103;0;11,7075;;
170104;0;16,3164;;
170105;0;14,3792;;
170106;0;26,7721;;
170107;0;;;6,96891
170108;0;;;2,01079
170109;0;;;2,05233
170110;0;;;5,39074
170111;0;11,7488;;
170112;0;20,4847;;
170113;0;10,8463;;
170114;0;9,69337;;
170115;0;7,29166;;
170116;0;16,1413;;
170117;0;10,047;;
170118;0;12,894;;
170119;0;7,57141;;
170120;0;5,986;;
170121;0;10,0406;;
170122;0;12,0271;;
170123;0;14,78;;
170124;0;9,37524;;
170125;0;6,59525;;
170126;0;5,43925;;
170127;0;8,89946;;
170128;0;10,6025;;
170129;0;8,94279;;
170130;0;12,7076;;
170131;0;15,231;;
170201;0;8,88896;;
170202;0;9,18515;;
170203;0;9,84805;;
170204;0;13,0919;;
170205;0;8,76329;;
170206;0;12,2083;;
170207;0;8,05875;;
170208;0;9,05621;;
170209;0;10,4159;;
170210;0;6,981;;
170211;0;7,47421;;
170212;0;11,2977;;
170213;0;7,77788;;
170214;0;9,4492;;
170215;0;6,722;;
170216;0;13,443;;
170217;0;14,3703;;
170218;0;20,1853;;
170219;0;18,9261;;
170220;0;18,747;;
170221;0;16,1692;;
170222;0;9,07286;;
170223;0;8,34924;;
170224;0;9,0405;;
170225;0;10,2658;;
170226;0;8,1347;;
170227;0;8,42992;;
170228;0;11,6402;;
170301;0;15,7308;;
170302;0;13,7151;;
170303;0;16,9238;;
170304;0;16,6253;;
170305;0;20,0259;;
170306;0;36,0949;;
170307;0;46,0358;;
170308;0;23,6517;;
170309;0;16,2812;;
170310;0;19,3031;;
170311;0;14,5654;;
170312;0;10,552;;
170313;0;18,3756;;
170314;0;16,3058;;
170315;0;19,6328;;
170316;0;27,2209;;
170317;0;22,1586;;
170318;0;19,1902;;
170319;0;9,88696;;
170320;0;16,181;;
170321;0;12,0742;;
170322;0;32,508;;
170323;0;21,3886;;
170324;0;22,2487;;
170325;0;51,9654;;
170326;0;58,7925;;
170327;0;39,6138;;
170328;0;79,7362;;
170329;0;50,79;;
170330;0;;;
170331;0;35,1492;;
170401;0;69,4873;;
170402;0;52,8642;;
