FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;18,5658;;;
170102;0000;19,0216;;;
170103;0000;11,7075;;;
170104;0000;16,3164;;;
170105;0000;14,3792;;;
170106;0000;26,7721;;;
170107;0000;;;6,96891;
170108;0000;;;2,01079;
170109;0000;;;2,05233;
170110;0000;;;5,39074;
170111;0000;11,7488;;;
170112;0000;20,4847;;;
170113;0000;10,8463;;;
170114;0000;9,69337;;;
170115;0000;7,29166;;;
170116;0000;16,1413;;;
170117;0000;10,047;;;
170118;0000;12,894;;;
170119;0000;7,57141;;;
170120;0000;5,986;;;
170121;0000;10,0406;;;
170122;0000;12,0271;;;
170123;0000;14,78;;;
170124;0000;9,37524;;;
170125;0000;6,59525;;;
170126;0000;5,43925;;;
170127;0000;8,89946;;;
170128;0000;10,6025;;;
170129;0000;8,94279;;;
170130;0000;12,7076;;;
170131;0000;15,231;;;
170201;0000;8,88896;;;
170202;0000;9,18515;;;
170203;0000;9,84805;;;
170204;0000;13,0919;;;
170205;0000;8,76329;;;
170206;0000;12,2083;;;
170207;0000;8,05875;;;
170208;0000;9,05621;;;
170209;0000;10,4159;;;
170210;0000;6,981;;;
170211;0000;7,47421;;;
170212;0000;11,2977;;;
170213;0000;7,77788;;;
170214;0000;9,4492;;;
170215;0000;6,722;;;
170216;0000;13,443;;;
170217;0000;14,3703;;;
170218;0000;20,1853;;;
170219;0000;18,9261;;;
170220;0000;18,747;;;
170221;0000;16,1692;;;
170222;0000;9,07286;;;
170223;0000;8,34924;;;
170224;0000;9,0405;;;
170225;0000;10,2658;;;
170226;0000;8,1347;;;
170227;0000;8,42992;;;
170228;0000;11,6402;;;
170301;0000;15,7308;;;
170302;0000;13,7151;;;
170303;0000;16,9238;;;
170304;0000;16,6253;;;
170305;0000;20,0259;;;
170306;0000;36,0949;;;
170307;0000;46,0358;;;
170308;0000;23,6517;;;
170309;0000;16,2812;;;
170310;0000;19,3031;;;
170311;0000;14,5654;;;
170312;0000;10,552;;;
170313;0000;18,3756;;;
170314;0000;16,3058;;;
170315;0000;19,6328;;;
170316;0000;27,2209;;;
170317;0000;22,1586;;;
170318;0000;19,1902;;;
170319;0000;9,88696;;;
170320;0000;16,181;;;
170321;0000;12,0742;;;
170322;0000;32,508;;;
170323;0000;21,3886;;;
170324;0000;22,2487;;;
170325;0000;51,9654;;;
170326;0000;58,7925;;;
170327;0000;39,6138;;;
170328;0000;79,7362;;;
170329;0000;50,79;;;
170330;0000;;;;
170331;0000;35,1492;;;
170401;0000;69,4873;;;
170402;0000;52,8642;;;
170403;0000;21,2615;;;
170404;0000;27,914;;;
170405;0000;26,3425;;;
170406;0000;56,1497;;;
170407;0000;;;;
170408;0000;;;;
170409;0000;32,8754;;;
170410;0000;31,3768;;;
170411;0000;63,4458;;;
170412;0000;186,141;;;
170413;0000;263,08;;;
170414;0000;153,356;;;
170415;0000;111,325;;;
170416;0000;216,535;;;
170417;0000;151,499;;;
170418;0000;46,475;;;
170419;0000;25,184;;;
170420;0000;30,9559;;;
170421;0000;28,5354;;;
170422;0000;36,0388;;;
170423;0000;32,8998;;;
170424;0000;59,0421;;;
170425;0000;43,4196;;;
170426;0000;41,9359;;;
170427;0000;37,6054;;;
170428;0000;19,0061;;;
170429;0000;31,9293;;;
170430;0000;15,3655;;;
170501;0000;51;;;
170502;0000;34;;;
170503;0000;73;;;
170504;0000;39;;;
170505;0000;141;;;
170506;0000;150;;;
170507;0000;82;;;
170508;0000;90;;;
170509;0000;177;;;
170510;0000;299;;;
170511;0000;200;;;
170512;0000;196;;;
170513;0000;139;;;
170514;0000;35;;;
170515;0000;77;;;
170516;0000;117;;;
170517;0000;87;;;
170518;0000;120;;;
170519;0000;54;;;
170520;0000;36;;;
170521;0000;34;;;
170522;0000;44;;;
170523;0000;49;;;
170524;0000;77;;;
170525;0000;51;;;
170526;0000;65;;;
170527;0000;35;;;
170528;0000;84;;;
170529;0000;188;;;
170530;0000;216;;;
170531;0000;118;;;
170601;0000;64;;;
170602;0000;83;;;
170603;0000;63;;;
170604;0000;69;;;
170605;0000;44;;;
170606;0000;37;;;
170607;0000;82;;;
170608;0000;29;;;
170609;0000;25;;;
170610;0000;44;;;
170611;0000;29;;;
170612;0000;63;;;
170613;0000;80;;;
170614;0000;122;;;
170615;0000;154;;;
170616;0000;168;;;
170617;0000;222;;;
170618;0000;68;;;
170619;0000;106;;;
170620;0000;176;;;
170621;0000;184;;;
170622;0000;113;;;
170623;0000;167;;;
170624;0000;136;;;
170625;0000;138;;;
170626;0000;122;;;
170627;0000;224;;;
170628;0000;106;;;
170629;0000;118;;;
170630;0000;247;;;
170701;0000;120;;;
170702;0000;245;;;
170703;0000;174;;;
170704;0000;155;;;
170705;0000;214;;;
170706;0000;46;;;
170707;0000;117;;;
170708;0000;155;;;
170709;0000;61;;;
170710;0000;58;;;
170711;0000;69;;;
170712;0000;107;;;
170713;0000;84;;;
170714;0000;207;;;
170715;0000;231;;;
170716;0000;54;;;
170717;0000;45;;;
170718;0000;34;;;
170719;0000;60;;;
170720;0000;67;;;
170721;0000;110;;;
170722;0000;112;;;
170723;0000;48;;;
170724;0000;39;;;
170725;0000;48;;;
170726;0000;101;;;
170727;0000;76;;;
170728;0000;49;;;
170729;0000;80;;;
170730;0000;137;;;
170731;0000;60;;;
170801;0000;30;;;
170802;0000;25;;;
170803;0000;51;;;
170804;0000;110;;;
170805;0000;132;;;
170806;0000;90;;;
170807;0000;83;;;
170808;0000;182;;;
170809;0000;197;;;
170810;0000;134;;;
170811;0000;90;;;
170812;0000;57;;;
170813;0000;49;;;
170814;0000;36;;;
170815;0000;34;;;
170816;0000;39;;;
170817;0000;96;;;
170818;0000;66;;;
170819;0000;51;;;
170820;0000;18;;;
170821;0000;89;;;
170822;0000;52;;;
170823;0000;113;;;
170824;0000;55;;;
170825;0000;76;;;
170826;0000;81;;;
170827;0000;114;;;
170828;0000;211;;;
170829;0000;56;;;
170830;0000;;;;
170831;0000;;;;
170901;0000;;;;
170902;0000;;;;
170903;0000;;;;
170904;0000;;;;
170905;0000;;;;
170906;0000;;;;
170907;0000;;;;
170908;0000;;;;
170909;0000;50;;;
170910;0000;34;;;
170911;0000;30;;;
170912;0000;19;;;
170913;0000;40;;;
170914;0000;26;;;
170915;0000;16;;;
170916;0000;16;;;
170917;0000;27;;;
170918;0000;36;;;
170919;0000;21;;;
170920;0000;16;;;
170921;0000;17;;;
170922;0000;28;;;
170923;0000;23;;;
170924;0000;28;;;
170925;0000;40;;;
170926;0000;47;;;
170927;0000;40;;;
170928;0000;67;;;
170929;0000;60;;;
170930;0000;27;;;
171001;0000;14;;;
171002;0000;31;;;
171003;0000;52;;;
171004;0000;30;;;
171005;0000;29;;;
171006;0000;15;;;
171007;0000;20;;;
171008;0000;46;;;
171009;0000;25;;;
171010;0000;59;;;
171011;0000;42;;;
171012;0000;27;;;
171013;0000;15;;;
171014;0000;11;;;
171015;0000;15;;;
171016;0000;17;;;
171017;0000;24;;;
171018;0000;23;;;
171019;0000;20;;;
171020;0000;34;;;
171021;0000;22;;;
171022;0000;28;;;
171023;0000;26;;;
171024;0000;22;;;
171025;0000;16;;;
171026;0000;16;;;
171027;0000;19;;;
171028;0000;17;;;
171029;0000;23;;;
171030;0000;17;;;
171031;0000;48;;;
171101;0000;18;;;
171102;0000;19;;;
171103;0000;28;;;
171104;0000;23;;;
171105;0000;27;;;
171106;0000;18;;;
171107;0000;23;;;
171108;0000;29;;;
171109;0000;18;;;
171110;0000;20;;;
